article_title,page_size,num_watchers,num_edits,num_redirects,creation_date,last_edit_date,authors_in_last30,page_views_last30
Raymond A. Applegate,"2,137",Fewer than 30 watchers,9,Yes,"13:43, 28 September 2013","17:41, 10 March 2017",0,28
China Railways SS7,"5,405",Fewer than 30 watchers,52,Yes,"04:42, 18 May 2007","06:09, 13 April 2017",0,311
Doryrhamphus excisus,"5,861",Fewer than 30 watchers,76,Yes,"06:30, 6 January 2014","12:25, 10 October 2016",0,63
Door handle bacteria,"13,131",Fewer than 30 watchers,90,Yes,"23:23, 9 November 2016","05:49, 5 December 2017",0,974
iFund,"3,843",Fewer than 30 watchers,66,Yes,"15:34, 9 March 2008","06:19, 5 December 2017",0,576
Justin Cobbs,"5,850",Fewer than 30 watchers,43,Yes,"13:35, 27 December 2015","23:47, 10 November 2017",0,393
Robert Giffard de Moncel,"6,481",Fewer than 30 watchers,78,Yes,"07:34, 25 May 2007","11:54, 27 November 2017",0,153
Sleepy-Time Squirrel,"2,603",Fewer than 30 watchers,15,Yes,"14:06, 11 August 2015","05:21, 27 November 2017",0,83
Foolish Age,"4,097",Fewer than 30 watchers,47,Yes,"17:04, 14 January 2018","17:38, 17 January 2018",7,217
Mor ve Ötesi,"7,660",Fewer than 30 watchers,312,Yes,"09:49, 10 October 2005","00:46, 5 December 2017",0,"1,112"
Oligotrema,"1,484",Fewer than 30 watchers,18,Yes,"14:12, 10 September 2015","09:05, 10 January 2018",1,62
Aris Akropotamos F.C.,"2,932",Fewer than 30 watchers,13,Yes,"15:55, 21 September 2013","10:33, 2 August 2017",0,36
1970 RCD Cup,"7,363",Fewer than 30 watchers,59,Yes,"08:55, 4 September 2010","17:06, 10 November 2016",0,51
Barnes Hall,"3,904",Fewer than 30 watchers,17,Yes,"14:02, 29 October 2010","00:40, 12 September 2017",0,153
E. Moidu Moulavi,"4,999",Fewer than 30 watchers,44,Yes,"08:33, 16 August 2006","19:42, 17 September 2017",0,158
List of number-one country singles of 1968 (U.S.),"13,851",Fewer than 30 watchers,8,Yes,"01:08, 31 May 2013","14:24, 1 November 2017",0,927
Midale,"11,565",Fewer than 30 watchers,84,Yes,"06:09, 4 June 2007","09:34, 24 October 2017",0,323
Pharaoh,"12,630",Fewer than 30 watchers,39,Yes,"19:40, 9 June 2007","12:42, 19 December 2017",0,255
José Agdamag,"2,195",Fewer than 30 watchers,16,Yes,"18:49, 29 June 2015","13:38, 26 December 2015",0,574
Musuvinakoppalu,"3,923",Fewer than 30 watchers,12,Yes,"13:44, 4 November 2015","18:57, 26 March 2017",0,32
Yemen national football team,"53,886",Fewer than 30 watchers,"1,034",Yes,"20:00, 17 December 2004","11:44, 23 January 2018",5,"3,841"
Donald J. Trump State Park,"10,913",Fewer than 30 watchers,180,Yes,"19:33, 7 December 2006","16:36, 18 January 2018",3,"4,725"
Section 25 of the Canadian Charter of Rights and Freedoms,"8,872",Fewer than 30 watchers,74,Yes,"01:13, 22 August 2005","14:44, 11 September 2017",0,668
Tiberguent,"2,241",Fewer than 30 watchers,10,Yes,"18:29, 2 June 2010","12:08, 9 December 2017",0,57
Lisa Hughes,"2,497",Fewer than 30 watchers,28,Yes,"16:54, 17 August 2009","01:32, 22 November 2016",0,"1,187"
A1 registration plate,"3,093",Fewer than 30 watchers,22,Yes,"11:56, 20 October 2012","09:31, 18 October 2017",0,470
Wendeen H. Eolis,"16,868",Fewer than 30 watchers,195,Yes,"03:19, 28 April 2007","21:21, 5 January 2018",1,198
Laura Albert,"29,684",30,335,1,"22:58, 8 January 2006","01:05, 6 January 2018",2,"4,595"
Agent.BTZ,"5,298",Fewer than 30 watchers,11,Yes,"15:31, 3 March 2014","09:21, 10 August 2017",0,323
Lord Sussex Lennox,"2,306",Fewer than 30 watchers,26,Yes,"17:21, 18 June 2013","16:17, 25 November 2017",0,69
1991 African Cup of Champions Clubs,"5,808",Fewer than 30 watchers,43,Yes,"17:33, 10 March 2008","10:56, 14 May 2017",0,194
Ka-Ching!,"17,749",Fewer than 30 watchers,306,Yes,"23:48, 18 August 2005","13:07, 20 December 2017",0,"1,315"
Severe combined immunodeficiency,"25,361",85,572,17,"05:50, 24 May 2003","02:03, 6 January 2018",1,"39,777"
Gilberto Zaldívar,"4,755",Fewer than 30 watchers,25,Yes,"14:10, 9 October 2009","15:47, 2 October 2017",0,52
Mike Colletta,"1,186",Fewer than 30 watchers,12,Yes,"02:52, 11 June 2013","04:48, 8 May 2017",0,32
Emmi Zeulner,"4,462",Fewer than 30 watchers,21,Yes,"09:39, 15 June 2014","22:48, 3 January 2018",1,50
Great Plains skink,"4,679",Fewer than 30 watchers,66,Yes,"12:16, 2 March 2004","05:29, 17 December 2017",0,144
Mediavia phaebadia,"1,423",Fewer than 30 watchers,8,Yes,"00:23, 17 April 2012","20:39, 15 July 2017",0,28
Pht01,"2,350",Fewer than 30 watchers,28,Yes,"13:59, 3 March 2009","09:09, 29 November 2017",0,73
Fausto Mata,"3,376",Fewer than 30 watchers,99,Yes,"13:43, 14 November 2013","00:43, 11 January 2018",1,613
Great Natchez Tornado,"4,436",Fewer than 30 watchers,219,Yes,"05:05, 12 January 2004","18:50, 22 December 2017",0,936
Flight to Japan,"2,014",Fewer than 30 watchers,4,Yes,"02:02, 25 March 2015","12:15, 23 March 2017",0,196
Pakistani cricket team in South Africa in 2013–14,"8,842",Fewer than 30 watchers,31,Yes,"19:25, 26 November 2013","06:58, 30 October 2017",0,"1,883"
George Liquor,"17,467",Fewer than 30 watchers,321,Yes,"14:12, 21 March 2005","16:56, 3 January 2018",1,"1,395"
Teleutias,"4,773",Fewer than 30 watchers,38,Yes,"08:00, 31 March 2006","06:16, 28 February 2016",0,83
Kleztory,"9,572",Fewer than 30 watchers,23,Yes,"12:08, 6 October 2015","14:08, 11 December 2017",0,49
Battle of Chausa,"1,247",Fewer than 30 watchers,24,Yes,"15:13, 2 August 2016","20:54, 2 January 2018",1,"1,919"
George Box Medal,"1,690",Fewer than 30 watchers,13,Yes,"13:57, 8 April 2011","14:21, 20 December 2017",0,82
The Last September,"4,086",Fewer than 30 watchers,5,Yes,"21:35, 6 October 2017","13:45, 20 December 2017",0,684
Isabel Quigly,"3,798",Fewer than 30 watchers,18,Yes,"12:00, 28 May 2015","17:02, 13 November 2017",0,96
Stung Treng Dam,"8,307",Fewer than 30 watchers,38,Yes,"07:34, 19 January 2011","10:55, 22 March 2017",0,117
Konomi Watanabe,"7,060",Fewer than 30 watchers,26,Yes,"22:23, 26 April 2015","00:30, 10 December 2017",0,207
Harald Deilmann,"3,472",Fewer than 30 watchers,32,Yes,"23:03, 21 January 2008","17:18, 13 May 2017",0,112
Ibn-e-Imam Degree Science College,"1,804",Fewer than 30 watchers,46,Yes,"07:42, 14 November 2012","13:29, 4 March 2017",0,44
Cancellopollia gracilis,"1,257",Fewer than 30 watchers,8,Yes,"11:48, 17 April 2010","22:46, 6 April 2017",0,29
2013 World Snooker Championship,"50,915",Fewer than 30 watchers,714,Yes,"20:59, 7 December 2012","06:43, 12 January 2018",2,"2,358"
The Green Glove,"5,971",Fewer than 30 watchers,56,Yes,"00:04, 15 April 2006","15:12, 17 January 2018",2,334
Drozd (surname),758,Fewer than 30 watchers,9,Yes,"06:19, 27 June 2013","08:47, 11 December 2017",0,123
I'm Still Crazy,"3,635",Fewer than 30 watchers,26,Yes,"08:42, 26 January 2010","20:18, 23 August 2016",0,86
Dauda Badaru,726,Fewer than 30 watchers,10,Yes,"21:30, 16 December 2008","14:02, 17 April 2016",0,43
USS ,"11,275",Fewer than 30 watchers,26,Yes,"00:46, 15 March 2009","21:21, 10 October 2016",0,122
Massiccio del Sirino,554,Fewer than 30 watchers,9,Yes,"17:47, 15 May 2010","18:36, 24 June 2017",0,74
Johnston (surname),"7,429",Fewer than 30 watchers,212,Yes,"18:48, 1 June 2007","20:59, 12 January 2018",1,"1,031"
Imelletty perunalaatikko,"1,761",Fewer than 30 watchers,25,Yes,"22:55, 20 August 2010","15:03, 28 December 2017",2,508
Organ Concerto (Williamson),"2,567",Fewer than 30 watchers,16,Yes,"00:19, 19 January 2009","12:09, 25 June 2017",0,47
Metabolic typing,"4,039",Fewer than 30 watchers,130,Yes,"08:40, 25 February 2005","18:33, 12 October 2017",0,750
"Iranian legislative election, 1947","5,783",Fewer than 30 watchers,70,Yes,"16:46, 14 March 2010","22:45, 8 January 2018",2,292
"Sentinel, California","1,945",Fewer than 30 watchers,6,Yes,"20:48, 12 May 2009","08:43, 26 March 2017",0,65
O'Neil Ford,"8,744",Fewer than 30 watchers,112,Yes,"07:32, 24 May 2004","15:38, 13 October 2017",0,385
Édouard Balladur,"13,558",31,311,3,"21:00, 18 January 2004","18:02, 16 September 2017",0,"1,738"
Sam Razavi,"4,665",Fewer than 30 watchers,44,Yes,"01:54, 15 December 2012","04:54, 29 May 2016",0,38
HMS ,"8,826",Fewer than 30 watchers,51,Yes,"01:02, 28 May 2010","17:56, 9 June 2017",0,46
Clepsis tetraplegma,692,Fewer than 30 watchers,7,Yes,"14:40, 12 June 2014","21:05, 13 August 2017",0,18
Heia (gens),"2,016",Fewer than 30 watchers,2,Yes,"05:07, 9 July 2016","05:07, 9 July 2016",0,61
Geophysics,"1,770",Fewer than 30 watchers,12,Yes,"20:08, 5 November 2014","12:12, 30 June 2017",0,146
Mammillaria elegans,"1,631",Fewer than 30 watchers,4,Yes,"18:15, 24 December 2016","22:29, 26 December 2016",0,119
Bryan Benson,"1,187",Fewer than 30 watchers,6,Yes,"01:31, 29 January 2016","22:33, 20 December 2017",0,36
1994 Australian Indoor Championships – Doubles,"7,535",Fewer than 30 watchers,12,Yes,"13:43, 5 April 2009","22:38, 18 January 2018",1,40
Molly McGrann,"5,431",Fewer than 30 watchers,77,Yes,"02:13, 3 January 2006","14:17, 23 January 2018",2,678
Arkansas Highway 282,"4,504",Fewer than 30 watchers,16,Yes,"02:33, 29 September 2009","19:40, 8 December 2017",0,31
Solution .45,"8,037",Fewer than 30 watchers,182,Yes,"17:14, 9 June 2009","08:20, 4 December 2017",0,"1,003"
Plagiostropha sinecosta,"1,320",Fewer than 30 watchers,11,Yes,"03:36, 6 April 2010","05:29, 30 December 2017",1,44
The Elder Scrolls II: Daggerfall,"30,341",76,684,18,"20:19, 26 February 2004","03:09, 9 January 2018",1,"14,624"
Ragini MMS,"18,728",Fewer than 30 watchers,41,Yes,"12:37, 4 September 2017","19:33, 4 January 2018",1,"2,480"
Matt Campbell (politician),"9,196",Fewer than 30 watchers,77,Yes,"17:02, 19 July 2010","06:16, 18 January 2018",1,74
Skirmish at Bender,"5,811",Fewer than 30 watchers,121,Yes,"15:31, 9 June 2008","08:05, 10 October 2017",0,691
Nishimura,"3,393",Fewer than 30 watchers,28,Yes,"13:23, 25 February 2009","06:47, 18 November 2017",0,337
KXDP-LP,"2,926",Fewer than 30 watchers,36,Yes,"18:18, 26 July 2010","16:42, 9 October 2016",0,131
Craspedia,"7,190",Fewer than 30 watchers,44,Yes,"08:41, 12 September 2005","18:04, 13 January 2018",1,"1,079"
Edward Goldie,"5,435",Fewer than 30 watchers,31,Yes,"17:33, 6 February 2015","14:16, 8 January 2018",1,71
"Franklin Township, Darke County, Ohio","6,213",Fewer than 30 watchers,30,Yes,"17:01, 1 February 2007","01:22, 14 January 2018",1,42
Lone Buffalo Winery,"7,488",Fewer than 30 watchers,10,Yes,"06:52, 29 July 2014","11:38, 18 October 2016",0,32
Blues for Miles,"2,547",Fewer than 30 watchers,19,Yes,"08:16, 19 June 2009","00:15, 23 July 2017",0,149
St Michael's Collegiate School,"18,087",Fewer than 30 watchers,189,Yes,"09:43, 3 September 2005","14:34, 22 November 2017",0,271
Ultra-royalist,"8,946",Fewer than 30 watchers,139,Yes,"19:34, 19 May 2004","16:45, 12 January 2018",2,"1,610"
2011 Georgetown Hoyas football team,"6,703",Fewer than 30 watchers,33,Yes,"19:38, 2 June 2011","10:59, 15 October 2017",0,50
Hyposmocoma lignicolor,828,Fewer than 30 watchers,11,Yes,"16:39, 2 April 2010","05:22, 21 March 2013",0,29
Pontypool,"11,613",Fewer than 30 watchers,317,Yes,"03:10, 25 September 2008","23:03, 12 September 2017",0,"6,921"
Bermuda at the 2003 Pan American Games,"3,471",Fewer than 30 watchers,21,Yes,"15:01, 26 April 2009","08:18, 16 November 2017",0,40
Vulcan Gas Company,"7,598",Fewer than 30 watchers,87,Yes,"23:26, 4 May 2008","14:12, 5 November 2017",0,557
Guam Highway 12,"1,303",Fewer than 30 watchers,8,Yes,"13:09, 19 June 2010","05:00, 16 December 2012",0,24
Elizabeth Selden Rogers,"6,155",Fewer than 30 watchers,65,Yes,"03:37, 22 February 2007","01:29, 12 March 2017",0,145
Grandmothers of the Plaza de Mayo,"14,061",Fewer than 30 watchers,132,Yes,"01:07, 18 December 2003","23:38, 10 December 2017",0,999
"Harry Dalzell, 10th Earl of Carnwath","1,929",Fewer than 30 watchers,10,Yes,"08:05, 21 October 2013","23:25, 11 May 2017",0,44
"Belica, Osilnica","4,644",Fewer than 30 watchers,13,Yes,"10:20, 11 March 2010","06:10, 13 March 2017",0,26
Béguédo Department,"3,754",Fewer than 30 watchers,19,Yes,"18:25, 11 April 2008","04:54, 28 July 2017",0,49
Eddie Marsh (bishop),976,Fewer than 30 watchers,8,Yes,"19:44, 1 September 2015","15:49, 7 June 2017",0,28
20D/Westphal,"2,662",Fewer than 30 watchers,40,Yes,"11:39, 9 June 2006","15:04, 27 October 2017",0,460
Franz Ludwig von Cancrin,"5,051",Fewer than 30 watchers,50,Yes,"19:58, 6 July 2005","17:59, 15 July 2016",0,68
